images,labels
./Identify/images/train\China_MotorBike_001403.jpg,"['0 0.529296875 0.814453125 0.04296875 0.3515625\n', '0 0.314453125 0.2998046875 0.0546875 0.107421875\n']"
./Identify/images/train\China_MotorBike_001412.jpg,['0 0.4599609375 0.5009765625 0.111328125 0.998046875\n']
./Identify/images/train\China_MotorBike_001414.jpg,"['1 0.5107421875 0.4599609375 0.447265625 0.080078125\n', '0 0.25 0.208984375 0.07421875 0.4140625\n', '0 0.1513671875 0.6669921875 0.103515625 0.451171875\n', '2 0.802734375 0.5654296875 0.109375 0.224609375\n']"
./Identify/images/train\China_MotorBike_001417.jpg,['0 0.3759765625 0.70703125 0.107421875 0.5859375\n']
./Identify/images/train\China_MotorBike_001421.jpg,"['2 0.451171875 0.3994140625 0.8515625 0.291015625\n', '2 0.5986328125 0.7529296875 0.525390625 0.416015625\n']"
./Identify/images/train\China_MotorBike_001424.jpg,"['0 0.041015625 0.2275390625 0.06640625 0.142578125\n', '1 0.2177734375 0.326171875 0.314453125 0.046875\n', '3 0.55859375 0.478515625 0.03125 0.05078125\n', '1 0.6474609375 0.5185546875 0.154296875 0.029296875\n', '0 0.5625 0.6640625 0.01953125 0.27734375\n', '1 0.279296875 0.7841796875 0.5546875 0.060546875\n', '3 0.4560546875 0.8701171875 0.048828125 0.115234375\n', '3 0.1044921875 0.9814453125 0.044921875 0.037109375\n', '2 0.298828125 0.900390625 0.42578125 0.1875\n', '0 0.3662109375 0.15234375 0.013671875 0.07421875\n']"
./Identify/images/train\China_MotorBike_001436.jpg,"['2 0.9091796875 0.40234375 0.181640625 0.32421875\n', '2 0.69140625 0.1220703125 0.6171875 0.240234375\n', '0 0.31640625 0.052734375 0.0546875 0.1015625\n']"
./Identify/images/train\China_MotorBike_001440.jpg,"['0 0.4501953125 0.068359375 0.107421875 0.12890625\n', '0 0.5947265625 0.560546875 0.197265625 0.85546875\n']"
./Identify/images/train\China_MotorBike_001444.jpg,['0 0.4287109375 0.5009765625 0.056640625 0.998046875\n']
./Identify/images/train\China_MotorBike_001446.jpg,['1 0.5009765625 0.5712890625 0.998046875 0.162109375\n']
./Identify/images/train\China_MotorBike_001448.jpg,['0 0.4970703125 0.6337890625 0.162109375 0.712890625\n']
./Identify/images/train\China_MotorBike_001459.jpg,['0 0.404296875 0.46484375 0.0234375 0.140625\n']
./Identify/images/train\China_MotorBike_001460.jpg,['3 0.2412109375 0.1953125 0.041015625 0.03125\n']
./Identify/images/train\China_MotorBike_001462.jpg,"['0 0.869140625 0.19140625 0.26171875 0.16796875\n', '1 0.736328125 0.5478515625 0.52734375 0.076171875\n', '0 0.373046875 0.6572265625 0.1953125 0.177734375\n', '1 0.142578125 0.71875 0.25 0.05078125\n', '1 0.35546875 0.8017578125 0.70703125 0.130859375\n']"
./Identify/images/train\China_MotorBike_001463.jpg,"['0 0.724609375 0.5810546875 0.2734375 0.833984375\n', '0 0.224609375 0.52734375 0.38671875 0.91796875\n']"
./Identify/images/train\China_MotorBike_001465.jpg,['1 0.5009765625 0.513671875 0.998046875 0.1015625\n']
./Identify/images/train\China_MotorBike_001470.jpg,"['2 0.68359375 0.171875 0.37109375 0.1171875\n', '2 0.4716796875 0.0546875 0.173828125 0.04296875\n', '0 0.12109375 0.5166015625 0.23828125 0.623046875\n']"
./Identify/images/train\China_MotorBike_001472.jpg,['1 0.5009765625 0.48828125 0.998046875 0.2734375\n']
./Identify/images/train\China_MotorBike_001478.jpg,"['2 0.4091796875 0.5927734375 0.259765625 0.810546875\n', '0 0.4619140625 0.1328125 0.044921875 0.109375\n']"
./Identify/images/train\China_MotorBike_001479.jpg,"['0 0.2509765625 0.3115234375 0.185546875 0.580078125\n', '2 0.61328125 0.6337890625 0.7734375 0.732421875\n', '2 0.53125 0.1728515625 0.23046875 0.150390625\n']"
./Identify/images/train\China_MotorBike_001480.jpg,['2 0.580078125 0.5732421875 0.453125 0.853515625\n']
./Identify/images/train\China_MotorBike_001483.jpg,"['2 0.5908203125 0.6767578125 0.486328125 0.310546875\n', '1 0.17578125 0.5859375 0.34765625 0.0625\n']"
./Identify/images/train\China_MotorBike_001487.jpg,['0 0.458984375 0.498046875 0.0859375 0.9921875\n']
./Identify/images/train\China_MotorBike_001488.jpg,"['2 0.15234375 0.376953125 0.30078125 0.4296875\n', '2 0.5205078125 0.8017578125 0.958984375 0.392578125\n', '2 0.87109375 0.4921875 0.2578125 0.21875\n', '0 0.5517578125 0.0869140625 0.537109375 0.169921875\n']"
./Identify/images/train\China_MotorBike_001490.jpg,['2 0.4599609375 0.7919921875 0.611328125 0.412109375\n']
./Identify/images/train\China_MotorBike_001493.jpg,"['1 0.5009765625 0.5888671875 0.998046875 0.095703125\n', '0 0.6650390625 0.755859375 0.064453125 0.21875\n', '0 0.6962890625 0.912109375 0.193359375 0.125\n', '0 0.08984375 0.18359375 0.17578125 0.328125\n']"
./Identify/images/train\China_MotorBike_001494.jpg,"['0 0.150390625 0.5390625 0.296875 0.16796875\n', '1 0.5 0.7724609375 0.99609375 0.142578125\n', '1 0.8212890625 0.6298828125 0.267578125 0.056640625\n']"
./Identify/images/train\China_MotorBike_001501.jpg,['0 0.4423828125 0.5009765625 0.083984375 0.998046875\n']
./Identify/images/train\China_MotorBike_001512.jpg,"['0 0.4326171875 0.6826171875 0.056640625 0.134765625\n', '0 0.4609375 0.919921875 0.08984375 0.16015625\n', '0 0.5810546875 0.806640625 0.119140625 0.203125\n', '0 0.55078125 0.353515625 0.1171875 0.5234375\n', '0 0.150390625 0.3681640625 0.06640625 0.134765625\n']"
./Identify/images/train\China_MotorBike_001513.jpg,"['1 0.048828125 0.896484375 0.09375 0.015625\n', '0 0.19921875 0.3984375 0.05078125 0.15234375\n']"
./Identify/images/train\China_MotorBike_001517.jpg,['0 0.4609375 0.5009765625 0.08984375 0.998046875\n']
./Identify/images/train\China_MotorBike_001518.jpg,"['1 0.65234375 0.3720703125 0.6953125 0.099609375\n', '0 0.6494140625 0.1181640625 0.349609375 0.228515625\n']"
./Identify/images/train\China_MotorBike_001519.jpg,"['0 0.353515625 0.5244140625 0.375 0.314453125\n', '1 0.7705078125 0.728515625 0.447265625 0.0859375\n', '0 0.103515625 0.12890625 0.0546875 0.25390625\n', '0 0.185546875 0.1982421875 0.10546875 0.041015625\n', '0 0.279296875 0.322265625 0.08203125 0.0859375\n', '0 0.326171875 0.4404296875 0.015625 0.138671875\n']"
./Identify/images/train\China_MotorBike_001522.jpg,['0 0.44140625 0.4892578125 0.06640625 0.974609375\n']
./Identify/images/train\China_MotorBike_001523.jpg,"['1 0.49609375 0.5986328125 0.98828125 0.119140625\n', '0 0.560546875 0.912109375 0.203125 0.12890625\n']"
./Identify/images/train\China_MotorBike_001527.jpg,"['0 0.94921875 0.7509765625 0.08984375 0.158203125\n', '0 0.8359375 0.318359375 0.30859375 0.1875\n', '0 0.2744140625 0.615234375 0.263671875 0.75\n', '0 0.1435546875 0.470703125 0.123046875 0.234375\n']"
./Identify/images/train\China_MotorBike_001529.jpg,['0 0.2607421875 0.5009765625 0.232421875 0.998046875\n']
./Identify/images/train\China_MotorBike_001530.jpg,"['1 0.498046875 0.5419921875 0.9921875 0.091796875\n', '1 0.833984375 0.42578125 0.265625 0.05078125\n', '1 0.1474609375 0.0576171875 0.291015625 0.029296875\n', '0 0.0927734375 0.0634765625 0.056640625 0.119140625\n']"
./Identify/images/train\China_MotorBike_001532.jpg,"['0 0.1943359375 0.111328125 0.037109375 0.078125\n', '0 0.248046875 0.2158203125 0.10546875 0.099609375\n', '1 0.4521484375 0.283203125 0.283203125 0.0390625\n', '3 0.7900390625 0.3935546875 0.037109375 0.044921875\n', '1 0.875 0.4169921875 0.13671875 0.041015625\n', '0 0.8408203125 0.537109375 0.087890625 0.203125\n', '1 0.5498046875 0.630859375 0.630859375 0.046875\n', '3 0.7998046875 0.689453125 0.060546875 0.09375\n', '3 0.552734375 0.7978515625 0.046875 0.087890625\n', '2 0.68359375 0.83203125 0.359375 0.3359375\n', '1 0.8505859375 0.9697265625 0.216796875 0.060546875\n', '0 0.24609375 0.7978515625 0.07421875 0.251953125\n', '1 0.103515625 0.7734375 0.203125 0.05859375\n', '0 0.5234375 0.130859375 0.015625 0.0546875\n']"
./Identify/images/train\China_MotorBike_001536.jpg,"['0 0.529296875 0.689453125 0.140625 0.62109375\n', '0 0.6748046875 0.4169921875 0.123046875 0.212890625\n', '0 0.7978515625 0.2900390625 0.154296875 0.255859375\n']"
./Identify/images/train\China_MotorBike_001537.jpg,"['2 0.701171875 0.3828125 0.59765625 0.17578125\n', '3 0.3779296875 0.3349609375 0.029296875 0.029296875\n', '2 0.4609375 0.1904296875 0.18359375 0.091796875\n', '0 0.0712890625 0.7138671875 0.138671875 0.431640625\n']"
./Identify/images/train\China_MotorBike_001538.jpg,['1 0.5810546875 0.666015625 0.837890625 0.12109375\n']
./Identify/images/train\China_MotorBike_001543.jpg,"['1 0.431640625 0.6943359375 0.21875 0.044921875\n', '1 0.1806640625 0.6064453125 0.244140625 0.048828125\n', '1 0.0439453125 0.5673828125 0.083984375 0.037109375\n']"
./Identify/images/train\China_MotorBike_001545.jpg,"['0 0.4775390625 0.291015625 0.181640625 0.578125\n', '0 0.5 0.9140625 0.0859375 0.16796875\n']"
./Identify/images/train\China_MotorBike_001546.jpg,"['2 0.853515625 0.607421875 0.29296875 0.2265625\n', '3 0.689453125 0.5888671875 0.03515625 0.044921875\n', '2 0.7265625 0.3515625 0.23046875 0.125\n', '0 0.50390625 0.9345703125 0.04296875 0.130859375\n']"
./Identify/images/train\China_MotorBike_001547.jpg,['0 0.685546875 0.599609375 0.29296875 0.80078125\n']
./Identify/images/train\China_MotorBike_001549.jpg,['2 0.474609375 0.7294921875 0.9453125 0.537109375\n']
./Identify/images/train\China_MotorBike_001551.jpg,"['0 0.5546875 0.814453125 0.15625 0.3671875\n', '0 0.74609375 0.7392578125 0.12890625 0.435546875\n', '0 0.876953125 0.46484375 0.24609375 0.41015625\n']"
./Identify/images/train\China_MotorBike_001556.jpg,"['0 0.2568359375 0.3408203125 0.181640625 0.513671875\n', '1 0.75 0.6865234375 0.5 0.130859375\n']"
./Identify/images/train\China_MotorBike_001559.jpg,['2 0.5009765625 0.6318359375 0.998046875 0.314453125\n']
./Identify/images/train\China_MotorBike_001560.jpg,"['2 0.4619140625 0.4892578125 0.263671875 0.158203125\n', '2 0.421875 0.806640625 0.32421875 0.27734375\n', '0 0.44140625 0.2275390625 0.046875 0.298828125\n']"
./Identify/images/train\China_MotorBike_001563.jpg,"['0 0.095703125 0.4345703125 0.12890625 0.248046875\n', '0 0.6181640625 0.1357421875 0.017578125 0.134765625\n']"
./Identify/images/train\China_MotorBike_001564.jpg,"['1 0.2021484375 0.607421875 0.361328125 0.05078125\n', '0 0.458984375 0.6337890625 0.12109375 0.732421875\n', '2 0.47265625 0.1328125 0.2109375 0.2421875\n']"
./Identify/images/train\China_MotorBike_001571.jpg,['3 0.2646484375 0.2724609375 0.052734375 0.052734375\n']
./Identify/images/train\China_MotorBike_001573.jpg,"['0 0.62109375 0.642578125 0.10546875 0.703125\n', '1 0.314453125 0.580078125 0.6171875 0.05859375\n', '0 0.4052734375 0.41015625 0.009765625 0.03515625\n']"
./Identify/images/train\China_MotorBike_001574.jpg,"['0 0.1748046875 0.287109375 0.052734375 0.12890625\n', '0 0.0703125 0.3515625 0.13671875 0.0859375\n', '0 0.5263671875 0.248046875 0.087890625 0.37890625\n', '0 0.4970703125 0.7841796875 0.212890625 0.431640625\n']"
./Identify/images/train\China_MotorBike_001576.jpg,"['1 0.8125 0.5634765625 0.37109375 0.103515625\n', '1 0.4716796875 0.572265625 0.314453125 0.046875\n', '1 0.13671875 0.6796875 0.26953125 0.07421875\n', '1 0.1943359375 0.1806640625 0.279296875 0.072265625\n']"
./Identify/images/train\China_MotorBike_001579.jpg,['3 0.3779296875 0.443359375 0.185546875 0.7265625\n']
./Identify/images/train\China_MotorBike_001580.jpg,['1 0.5009765625 0.6240234375 0.998046875 0.193359375\n']
./Identify/images/train\China_MotorBike_001582.jpg,['1 0.5009765625 0.4541015625 0.998046875 0.111328125\n']
./Identify/images/train\China_MotorBike_001583.jpg,['1 0.5009765625 0.642578125 0.998046875 0.171875\n']
./Identify/images/train\China_MotorBike_001584.jpg,"['2 0.291015625 0.779296875 0.578125 0.4375\n', '0 0.693359375 0.4384765625 0.2109375 0.228515625\n', '0 0.2529296875 0.099609375 0.501953125 0.1953125\n']"
./Identify/images/train\China_MotorBike_001591.jpg,"['2 0.5009765625 0.591796875 0.998046875 0.67578125\n', '2 0.4072265625 0.13671875 0.365234375 0.23046875\n']"
./Identify/images/train\China_MotorBike_001592.jpg,"['0 0.6796875 0.513671875 0.29296875 0.8984375\n', '0 0.224609375 0.4208984375 0.40625 0.798828125\n']"
./Identify/images/train\China_MotorBike_001593.jpg,"['0 0.42578125 0.5458984375 0.08203125 0.400390625\n', '0 0.306640625 0.8662109375 0.03125 0.263671875\n', '0 0.89453125 0.3447265625 0.19140625 0.107421875\n']"
./Identify/images/train\China_MotorBike_001601.jpg,['1 0.5009765625 0.5390625 0.998046875 0.08984375\n']
./Identify/images/train\China_MotorBike_001602.jpg,"['0 0.4140625 0.3935546875 0.16796875 0.767578125\n', '0 0.603515625 0.7548828125 0.19921875 0.107421875\n', '0 0.4326171875 0.8984375 0.119140625 0.19140625\n', '0 0.5234375 0.88671875 0.05078125 0.13671875\n']"
./Identify/images/train\China_MotorBike_001603.jpg,['2 0.5009765625 0.5830078125 0.998046875 0.248046875\n']
./Identify/images/train\China_MotorBike_001604.jpg,['2 0.4580078125 0.6669921875 0.912109375 0.662109375\n']
./Identify/images/train\China_MotorBike_001609.jpg,"['0 0.732421875 0.70703125 0.12890625 0.5859375\n', '0 0.6142578125 0.5 0.095703125 0.99609375\n']"
./Identify/images/train\China_MotorBike_001610.jpg,"['1 0.4541015625 0.2431640625 0.263671875 0.048828125\n', '0 0.28125 0.1611328125 0.109375 0.080078125\n', '0 0.2392578125 0.0849609375 0.037109375 0.068359375\n', '3 0.7578125 0.353515625 0.03125 0.0390625\n', '1 0.8369140625 0.380859375 0.115234375 0.0234375\n', '0 0.798828125 0.4736328125 0.05078125 0.173828125\n', '1 0.5419921875 0.5302734375 0.509765625 0.068359375\n', '0 0.263671875 0.6259765625 0.046875 0.158203125\n', '1 0.115234375 0.6015625 0.2265625 0.046875\n', '3 0.525390625 0.6513671875 0.03125 0.068359375\n', '2 0.6318359375 0.654296875 0.275390625 0.19921875\n', '3 0.744140625 0.587890625 0.04296875 0.078125\n', '0 0.8408203125 0.8427734375 0.314453125 0.138671875\n']"
./Identify/images/train\China_MotorBike_001613.jpg,"['0 0.6826171875 0.587890625 0.232421875 0.7890625\n', '0 0.1630859375 0.7734375 0.224609375 0.41796875\n', '2 0.35546875 0.1474609375 0.109375 0.068359375\n']"
./Identify/images/train\China_MotorBike_001617.jpg,['0 0.5927734375 0.5009765625 0.150390625 0.998046875\n']
./Identify/images/train\China_MotorBike_001625.jpg,"['1 0.494140625 0.587890625 0.984375 0.19921875\n', '0 0.7548828125 0.75390625 0.091796875 0.453125\n']"
./Identify/images/train\China_MotorBike_001626.jpg,"['0 0.6435546875 0.5341796875 0.197265625 0.888671875\n', '0 0.5078125 0.5009765625 0.17578125 0.998046875\n']"
./Identify/images/train\China_MotorBike_001629.jpg,['1 0.5009765625 0.54296875 0.998046875 0.10546875\n']
./Identify/images/train\China_MotorBike_001632.jpg,"['0 0.4013671875 0.857421875 0.060546875 0.28515625\n', '0 0.412109375 0.484375 0.06640625 0.43359375\n']"
./Identify/images/train\China_MotorBike_001633.jpg,['3 0.2255859375 0.22265625 0.048828125 0.03125\n']
./Identify/images/train\China_MotorBike_001634.jpg,"['2 0.5009765625 0.6708984375 0.998046875 0.654296875\n', '0 0.423828125 0.0810546875 0.46875 0.158203125\n']"
./Identify/images/train\China_MotorBike_001638.jpg,"['0 0.44921875 0.3564453125 0.07421875 0.400390625\n', '0 0.46875 0.7734375 0.15234375 0.453125\n', '1 0.3447265625 0.3251953125 0.119140625 0.029296875\n', '1 0.1416015625 0.3818359375 0.279296875 0.033203125\n']"
./Identify/images/train\China_MotorBike_001640.jpg,"['0 0.8251953125 0.2978515625 0.330078125 0.177734375\n', '0 0.310546875 0.630859375 0.1953125 0.71875\n', '0 0.08984375 0.580078125 0.17578125 0.32421875\n']"
./Identify/images/train\China_MotorBike_001641.jpg,"['0 0.7314453125 0.8154296875 0.212890625 0.357421875\n', '0 0.583984375 0.4501953125 0.0859375 0.357421875\n', '0 0.6123046875 0.20703125 0.087890625 0.12109375\n', '3 0.859375 0.4697265625 0.21484375 0.255859375\n', '0 0.2255859375 0.71484375 0.083984375 0.546875\n', '2 0.59765625 0.08203125 0.04296875 0.05859375\n']"
./Identify/images/train\China_MotorBike_001643.jpg,"['0 0.119140625 0.294921875 0.09765625 0.17578125\n', '0 0.931640625 0.0556640625 0.13671875 0.099609375\n']"
./Identify/images/train\China_MotorBike_001644.jpg,"['1 0.126953125 0.099609375 0.25 0.0390625\n', '0 0.478515625 0.37109375 0.046875 0.35546875\n', '0 0.41796875 0.2158203125 0.06640625 0.119140625\n', '0 0.4208984375 0.3125 0.056640625 0.07421875\n', '0 0.6474609375 0.0361328125 0.119140625 0.033203125\n']"
./Identify/images/train\China_MotorBike_001652.jpg,"['0 0.69140625 0.587890625 0.16015625 0.82421875\n', '0 0.52734375 0.5 0.14453125 0.99609375\n']"
./Identify/images/train\China_MotorBike_001656.jpg,"['0 0.271484375 0.0673828125 0.05859375 0.130859375\n', '2 0.6630859375 0.1943359375 0.673828125 0.384765625\n', '2 0.9150390625 0.4951171875 0.169921875 0.220703125\n']"
./Identify/images/train\China_MotorBike_001660.jpg,"['0 0.5400390625 0.806640625 0.044921875 0.375\n', '0 0.326171875 0.2919921875 0.0390625 0.107421875\n']"
./Identify/images/train\China_MotorBike_001661.jpg,['3 0.4091796875 0.626953125 0.146484375 0.74609375\n']
./Identify/images/train\China_MotorBike_001662.jpg,"['0 0.4111328125 0.0791015625 0.021484375 0.083984375\n', '0 0.486328125 0.1728515625 0.109375 0.091796875\n', '1 0.6708984375 0.2373046875 0.244140625 0.044921875\n', '1 0.779296875 0.5185546875 0.43359375 0.072265625\n', '3 0.837890625 0.6435546875 0.0390625 0.068359375\n', '2 0.9013671875 0.673828125 0.197265625 0.2421875\n', '0 0.5703125 0.6181640625 0.03125 0.154296875\n', '1 0.3662109375 0.5732421875 0.361328125 0.037109375\n']"
./Identify/images/train\China_MotorBike_001663.jpg,['2 0.5009765625 0.6611328125 0.998046875 0.673828125\n']
./Identify/images/train\China_MotorBike_001664.jpg,['2 0.615234375 0.662109375 0.5 0.671875\n']
./Identify/images/train\China_MotorBike_001666.jpg,['0 0.458984375 0.5107421875 0.11328125 0.943359375\n']
./Identify/images/train\China_MotorBike_001669.jpg,"['0 0.283203125 0.455078125 0.328125 0.2734375\n', '1 0.6171875 0.609375 0.34765625 0.05078125\n', '0 0.896484375 0.6962890625 0.20703125 0.130859375\n', '0 0.0703125 0.10546875 0.05859375 0.20703125\n', '0 0.1748046875 0.2236328125 0.146484375 0.158203125\n']"
./Identify/images/train\China_MotorBike_001670.jpg,"['0 0.310546875 0.125 0.109375 0.24609375\n', '0 0.2216796875 0.6298828125 0.185546875 0.736328125\n', '0 0.8837890625 0.390625 0.232421875 0.5703125\n']"
./Identify/images/train\China_MotorBike_001671.jpg,"['0 0.9033203125 0.8603515625 0.087890625 0.240234375\n', '0 0.302734375 0.5673828125 0.21875 0.837890625\n']"
./Identify/images/train\China_MotorBike_001673.jpg,['2 0.5830078125 0.5 0.462890625 0.99609375\n']
./Identify/images/train\China_MotorBike_001675.jpg,['1 0.5009765625 0.498046875 0.998046875 0.109375\n']
./Identify/images/train\China_MotorBike_001676.jpg,['0 0.3095703125 0.5537109375 0.248046875 0.541015625\n']
./Identify/images/train\China_MotorBike_001677.jpg,"['0 0.2275390625 0.4091796875 0.216796875 0.669921875\n', '0 0.0283203125 0.7705078125 0.044921875 0.166015625\n', '0 0.03125 0.9013671875 0.05859375 0.169921875\n', '0 0.662109375 0.7822265625 0.06640625 0.435546875\n', '0 0.4609375 0.0869140625 0.01953125 0.126953125\n']"
./Identify/images/train\China_MotorBike_001678.jpg,"['2 0.5009765625 0.734375 0.998046875 0.48046875\n', '1 0.720703125 0.0859375 0.28515625 0.04296875\n', '0 0.5302734375 0.0556640625 0.087890625 0.107421875\n']"
./Identify/images/train\China_MotorBike_001680.jpg,"['3 0.4140625 0.353515625 0.046875 0.046875\n', '3 0.373046875 0.3544921875 0.015625 0.021484375\n']"
./Identify/images/train\China_MotorBike_001683.jpg,['0 0.39453125 0.595703125 0.0625 0.80859375\n']
./Identify/images/train\China_MotorBike_001685.jpg,['2 0.4091796875 0.8134765625 0.490234375 0.369140625\n']
./Identify/images/train\China_MotorBike_001686.jpg,['0 0.5029296875 0.8447265625 0.994140625 0.220703125\n']
./Identify/images/train\China_MotorBike_001687.jpg,"['1 0.6806640625 0.51171875 0.361328125 0.07421875\n', '1 0.3115234375 0.5517578125 0.353515625 0.076171875\n', '1 0.08984375 0.677734375 0.17578125 0.0546875\n']"
./Identify/images/train\China_MotorBike_001688.jpg,"['0 0.3505859375 0.2490234375 0.041015625 0.263671875\n', '0 0.3046875 0.6875 0.04296875 0.625\n']"
./Identify/images/train\China_MotorBike_001689.jpg,['0 0.4208984375 0.5703125 0.083984375 0.859375\n']
./Identify/images/train\China_MotorBike_001694.jpg,['2 0.5400390625 0.7255859375 0.556640625 0.548828125\n']
./Identify/images/train\China_MotorBike_001696.jpg,"['1 0.2822265625 0.775390625 0.560546875 0.14453125\n', '1 0.857421875 0.66015625 0.28515625 0.02734375\n', '1 0.1923828125 0.185546875 0.380859375 0.05078125\n']"
./Identify/images/train\China_MotorBike_001698.jpg,"['0 0.5322265625 0.8408203125 0.154296875 0.318359375\n', '0 0.7314453125 0.7861328125 0.123046875 0.423828125\n', '0 0.8642578125 0.4990234375 0.271484375 0.455078125\n']"
./Identify/images/train\China_MotorBike_001700.jpg,['1 0.5009765625 0.3974609375 0.998046875 0.087890625\n']
./Identify/images/train\China_MotorBike_001704.jpg,"['0 0.43359375 0.583984375 0.03515625 0.16796875\n', '0 0.724609375 0.34765625 0.14453125 0.21484375\n', '1 0.904296875 0.892578125 0.19140625 0.09765625\n']"
./Identify/images/train\China_MotorBike_001706.jpg,"['0 0.615234375 0.2060546875 0.04296875 0.392578125\n', '1 0.9384765625 0.455078125 0.123046875 0.0234375\n', '1 0.7509765625 0.89453125 0.490234375 0.078125\n']"
./Identify/images/train\China_MotorBike_001713.jpg,"['0 0.16796875 0.775390625 0.12109375 0.40625\n', '0 0.19921875 0.44921875 0.33984375 0.5078125\n', '0 0.703125 0.6298828125 0.46484375 0.740234375\n', '0 0.8046875 0.283203125 0.35546875 0.13671875\n']"
./Identify/images/train\China_MotorBike_001714.jpg,['0 0.33203125 0.546875 0.21484375 0.89453125\n']
./Identify/images/train\China_MotorBike_001715.jpg,"['0 0.5224609375 0.66015625 0.208984375 0.66796875\n', '0 0.5078125 0.068359375 0.1640625 0.109375\n', '0 0.1728515625 0.6494140625 0.115234375 0.662109375\n', '0 0.1728515625 0.25 0.099609375 0.11328125\n', '0 0.4189453125 0.1630859375 0.029296875 0.318359375\n']"
./Identify/images/train\China_MotorBike_001719.jpg,['1 0.5009765625 0.4599609375 0.998046875 0.099609375\n']
./Identify/images/train\China_MotorBike_001722.jpg,"['0 0.8642578125 0.3271484375 0.255859375 0.150390625\n', '0 0.4248046875 0.3876953125 0.052734375 0.134765625\n', '0 0.0546875 0.7138671875 0.10546875 0.248046875\n', '0 0.3818359375 0.751953125 0.064453125 0.4765625\n']"
./Identify/images/train\China_MotorBike_001724.jpg,"['1 0.23046875 0.3935546875 0.328125 0.056640625\n', '0 0.5380859375 0.54296875 0.283203125 0.78125\n', '2 0.474609375 0.0732421875 0.1875 0.142578125\n']"
./Identify/images/train\China_MotorBike_001725.jpg,['2 0.4677734375 0.6171875 0.931640625 0.5546875\n']
./Identify/images/train\China_MotorBike_001730.jpg,"['0 0.6767578125 0.6484375 0.294921875 0.68359375\n', '0 0.2021484375 0.609375 0.369140625 0.70703125\n', '0 0.8232421875 0.302734375 0.302734375 0.15625\n']"
./Identify/images/train\China_MotorBike_001731.jpg,"['0 0.1884765625 0.544921875 0.228515625 0.8359375\n', '0 0.3916015625 0.51953125 0.068359375 0.9609375\n', '0 0.5888671875 0.0810546875 0.181640625 0.119140625\n']"
./Identify/images/train\China_MotorBike_001732.jpg,"['0 0.5302734375 0.3427734375 0.208984375 0.626953125\n', '0 0.4599609375 0.5009765625 0.275390625 0.998046875\n']"
./Identify/images/train\China_MotorBike_001736.jpg,['1 0.5009765625 0.6220703125 0.998046875 0.193359375\n']
./Identify/images/train\China_MotorBike_001738.jpg,"['0 0.8896484375 0.357421875 0.216796875 0.1640625\n', '0 0.6982421875 0.783203125 0.154296875 0.4140625\n', '0 0.728515625 0.478515625 0.0703125 0.1328125\n', '0 0.291015625 0.634765625 0.203125 0.7109375\n', '0 0.236328125 0.3388671875 0.046875 0.111328125\n']"
./Identify/images/train\China_MotorBike_001741.jpg,"['0 0.2158203125 0.5009765625 0.388671875 0.966796875\n', '0 0.68359375 0.54296875 0.2734375 0.88671875\n']"
./Identify/images/train\China_MotorBike_001744.jpg,['1 0.4326171875 0.669921875 0.861328125 0.22265625\n']
./Identify/images/train\China_MotorBike_001745.jpg,"['1 0.4990234375 0.11328125 0.267578125 0.04296875\n', '0 0.794921875 0.5302734375 0.30859375 0.865234375\n', '0 0.2119140625 0.5 0.310546875 0.99609375\n']"
./Identify/images/train\China_MotorBike_001747.jpg,['3 0.2275390625 0.212890625 0.044921875 0.046875\n']
./Identify/images/train\China_MotorBike_001748.jpg,"['1 0.263671875 0.3515625 0.27734375 0.05078125\n', '0 0.546875 0.513671875 0.29296875 0.7578125\n', '2 0.470703125 0.0634765625 0.171875 0.123046875\n']"
./Identify/images/train\China_MotorBike_001753.jpg,"['0 0.4560546875 0.265625 0.626953125 0.52734375\n', '0 0.517578125 0.720703125 0.16796875 0.5546875\n']"
./Identify/images/train\China_MotorBike_001754.jpg,['0 0.138671875 0.728515625 0.2734375 0.4921875\n']
./Identify/images/train\China_MotorBike_001759.jpg,"['1 0.2333984375 0.677734375 0.330078125 0.0546875\n', '0 0.458984375 0.6376953125 0.109375 0.724609375\n', '2 0.451171875 0.1416015625 0.203125 0.248046875\n']"
./Identify/images/train\China_MotorBike_001760.jpg,"['1 0.1357421875 0.103515625 0.154296875 0.02734375\n', '0 0.2421875 0.4853515625 0.14453125 0.732421875\n', '0 0.1943359375 0.9580078125 0.099609375 0.083984375\n', '1 0.3134765625 0.08984375 0.185546875 0.02734375\n']"
./Identify/images/train\China_MotorBike_001761.jpg,"['0 0.685546875 0.572265625 0.16015625 0.85546875\n', '0 0.5234375 0.5 0.14453125 0.99609375\n']"
./Identify/images/train\China_MotorBike_001765.jpg,"['0 0.26953125 0.0859375 0.05859375 0.16796875\n', '2 0.640625 0.23828125 0.71875 0.47265625\n', '2 0.9130859375 0.5625 0.173828125 0.17578125\n']"
./Identify/images/train\China_MotorBike_001767.jpg,['2 0.5009765625 0.6396484375 0.998046875 0.716796875\n']
./Identify/images/train\China_MotorBike_001769.jpg,"['1 0.7255859375 0.5751953125 0.548828125 0.083984375\n', '0 0.3525390625 0.4423828125 0.216796875 0.193359375\n', '0 0.43359375 0.7783203125 0.11328125 0.439453125\n']"
